epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,183.502,0.59266,0.32884,0.84654,0.98952,0.98966,0.99385,0.81322,0.59963,0.31411,0.80168,0.00067,0.00067,0.00067
102,185.339,0.57284,0.32599,0.84174,0.98614,0.98777,0.99418,0.80754,0.59587,0.31007,0.80097,0.0006667,0.0006667,0.0006667
103,187.071,0.57388,0.31954,0.85187,0.98736,0.98675,0.99421,0.81388,0.59217,0.30641,0.80209,0.0006634,0.0006634,0.0006634
104,188.859,0.58263,0.32339,0.84478,0.98396,0.98801,0.99309,0.80832,0.59439,0.30307,0.8015,0.0006601,0.0006601,0.0006601
105,190.651,0.58757,0.32839,0.84426,0.98538,0.9925,0.99354,0.81191,0.59984,0.30589,0.80702,0.0006568,0.0006568,0.0006568
106,192.467,0.60376,0.33754,0.84922,0.98742,0.99412,0.99383,0.81205,0.58585,0.30727,0.80556,0.0006535,0.0006535,0.0006535
107,194.266,0.58676,0.32828,0.84762,0.99055,0.9942,0.99453,0.80925,0.59477,0.30756,0.80446,0.0006502,0.0006502,0.0006502
108,196.135,0.57675,0.31853,0.84267,0.98753,0.99639,0.99476,0.82235,0.57674,0.30669,0.80227,0.0006469,0.0006469,0.0006469
109,197.974,0.56302,0.31949,0.84238,0.98848,0.99375,0.99409,0.82028,0.58016,0.30345,0.79991,0.0006436,0.0006436,0.0006436
110,199.781,0.5673,0.31546,0.84107,0.99034,0.995,0.99441,0.81993,0.57772,0.29854,0.79862,0.0006403,0.0006403,0.0006403
111,201.583,0.58411,0.32352,0.84747,0.98988,0.99405,0.9943,0.81526,0.59705,0.30236,0.80252,0.000637,0.000637,0.000637
112,203.41,0.5893,0.33232,0.84552,0.9874,0.99607,0.99425,0.81786,0.59246,0.30991,0.80029,0.0006337,0.0006337,0.0006337
113,205.245,0.57606,0.32214,0.84742,0.99049,0.99289,0.99418,0.81977,0.576,0.3047,0.80061,0.0006304,0.0006304,0.0006304
